證券代碼,年,員工人數 (揭露值),男性人數,女性人數,男性比率%,女性比率%,離平均%
1711 永光,2021,1748,1321,427,75.57,24.43,24.43
1712 興農,2021,1365,827,538,60.59,39.41,39.41
1713 國化,2021,86,75,11,87.21,12.79,12.79
1714 和桐,2021,96,63,33,65.63,34.38,34.38
1717 長興,2021,2090,1621,469,77.56,22.44,22.44
1718 中纖,2021,575,484,91,84.17,15.83,15.83
1720 生達,2021,805,350,455,43.48,56.52,43.48
1721 三晃,2021,499,379,120,75.95,24.05,24.05
1722 台肥,2021,644,512,132,79.5,20.5,20.5
1723 中碳,2021,294,256,38,87.07,12.93,12.93
1725 元禎,2021,109,70,39,64.22,35.78,35.78
1726 永記,2021,711,564,147,79.32,20.68,20.68
1727 中華化,2021,255,200,55,78.43,21.57,21.57
1730 花仙子,2021,275,108,167,39.27,60.73,39.27
1732 毛寶,2021,157,77,80,49.04,50.96,49.04
1733 五鼎,2021,691,171,520,24.7,75.3,24.7
1735 日勝化,2021,215,171,44,79.53,20.47,20.47
1736 喬山,2021,1097,,,,,0
1737 臺鹽,2021,484,287,197,59.3,40.7,40.7
1752 南光,2021,662,,,,,0
1760 寶齡富錦,2021,,,246,32.2,67.8,32.2
1762 中化生,2021,330,238,92,72.12,27.88,27.88
1773 勝一,2021,416,340,76,81.73,18.27,18.27
1776 展宇,2021,129,92,37,71.32,28.68,28.68
1786 科妍,2021,,,,45,55,45
1789 神隆,2021,688,482,206,70.1,29.9,29.9
1795 美時,2021,1162,537,625,46.2,53.8,46.2
1802 台玻,2021,4581,3938,643,97.45,15.91,15.91
1806 冠軍,2021,696,,,,,0
1810 和成,2021,1066,815,251,76.45,23.55,23.55
1817 凱撒衛,2021,150,,,,,0
1903 士紙,2021,74,20,54,27.03,72.97,27.03
1904 正隆,2021,6381,4938,1443,77.39,22.61,22.61
1905 華紙,2021,2723,2347,376,86.19,13.81,13.81
1907 永豐餘,2021,10523,7921,2602,75.27,24.73,24.73
1909 榮成,2021,1127,953,174,84.56,15.44,15.44
2002 中鋼,2021,9794,9452,342,96.51,3.49,3.49
2006 東和鋼鐵,2021,1777,1631,146,91.78,8.22,8.22
2007 燁興,2021,449,402,47,89.53,10.47,10.47
2008 高興昌,2021,205,182,23,88.78,11.22,11.22
2009 第一銅,2021,246,224,22,91.06,8.94,8.94
2010 春源,2021,1142,978,164,85.64,14.36,14.36
2012 春雨,2021,576,441,135,76.56,23.44,23.44
2013 中鋼構,2021,466,398,68,85.41,14.59,14.59
2014 中鴻,2021,1163,1060,103,91.14,8.86,8.86
2015 豐興,2021,901,854,47,94.78,5.22,5.22
2017 官田鋼,2021,289,,,,,0
2020 美亞,2021,381,312,69,81.89,18.11,18.11
2022 聚亨,2021,156,84,72,53.85,46.15,46.15
2023 燁輝,2021,1379,1236,143,89.63,10.37,10.37
2025 千興,2021,63,51,12,80.95,19.05,19.05
2027 大成鋼,2021,981,777,204,79.2,20.8,20.8
2028 威致,2021,372,353,19,94.89,5.11,5.11
2029 盛餘,2021,501,444,57,88.62,11.38,11.38
2030 彰源,2021,625,536,89,85.76,14.24,14.24
2031 新光鋼,2021,269,201,68,74.72,25.28,25.28
2049 上銀,2021,4846,4128,718,85.18,14.82,14.82
2059 川湖,2021,1503,908,595,60.41,39.59,39.59
2062 橋椿,2021,1031,637,394,61.78,38.22,38.22
2069 運錩,2021,,,,63.64,36.36,36.36
2101 南港,2021,1098,1001,97,91.17,8.83,8.83
2102 泰豐,2021,473,411,62,86.89,13.11,13.11
2103 台橡,2021,1604,1339,265,83.48,19.79,19.79
2104 國際中橡,2021,434,325,109,74.88,25.12,25.12
2105 正新,2021,9473,7365,2108,77.75,22.25,22.25
2106 建大,2021,1981,1435,546,72.44,27.56,27.56
2108 南帝,2021,317,291,26,91.8,8.2,8.2
2109 華豐,2021,684,442,242,65,35,35
2201 裕隆,2021,1248,1140,108,91.3,8.7,8.7
2204 中華,2021,2048,1792,256,87.5,12.5,12.5
2206 三陽工業,2021,2276,1984,292,87.17,12.83,12.83
2207 和泰車,2021,563,343,220,60.92,39.08,39.08
2208 台船,2021,3129,2909,220,92.97,7.03,7.03
2211 長榮鋼,2021,553,442,111,79.93,20.07,20.07
2227 裕日車,2021,375,276,99,73.6,26.4,26.4
2233 宇隆,2021,,,,47,53,47
2241 艾姆勒,2021,617,425,192,68.88,31.12,31.12
2301 光寶科,2021,40019,22474,17545,56.16,43.84,43.84
2303 聯電,2021,19593,11269,8324,57.52,42.48,42.48
2305 全友,2021,99,59,40,59.6,40.4,40.4
2308 台達電,2021,85593,43585,42008,50.92,49.08,49.08
2312 金寶,2021,55602,25052,30550,45.06,54.94,45.06
2313 華通,2021,19690,11611,8079,58.97,41.03,41.03
2314 台揚,2021,1008,553,455,54.86,45.14,45.14
2316 楠梓電,2021,,,,45,55,45
2317 鴻海,2021,946111,596050,350061,63,37,37
2323 中環,2021,713,461,252,64.66,35.34,35.34
2324 仁寶,2021,91983,58966,33017,64.11,35.89,35.89
2327 國巨,2021,9365,4374,4991,46.71,53.29,46.71
2328 廣宇,2021,5017,2359,2658,47.02,52.98,47.02
2329 華泰,2021,5293,1956,3337,36.95,63.05,36.95
2330 台積電,2021,65152,42088,23064,64.6,35.4,35.4
2331 精英,2021,6328,3676,2652,58.09,41.91,41.91
2332 友訊,2021,555,326,229,58.74,41.26,41.26
2337 旺宏,2021,3809,2243,1566,58.89,41.11,41.11
2338 光罩,2021,320,,,,,0
2340 台亞,2021,961,413,548,42.98,57.02,42.98
2342 茂矽,2021,578,249,329,43.08,56.92,43.08
2344 華邦電,2021,3814,2691,1123,70.56,29.44,29.44
2345 智邦,2021,4436,2333,2103,52.59,47.41,47.41
2347 聯強,2021,1280,736,544,57.5,42.5,42.5
2348 海悅,2021,204,109,95,53.43,46.57,46.57
2349 錸德,2021,583,419,164,71.87,28.13,28.13
2351 順德,2021,1470,1014,456,68.98,31.02,31.02
2352 佳世達,2021,7516,4658,2858,61.16,38.03,38.03
2353 宏碁,2021,7713,4859,2854,63,37,37
2354 鴻準,2021,13249,7659,5590,57.81,42.19,42.19
2355 敬鵬,2021,6100,,,,,0
2356 英業達,2021,18449,11000,7449,59.62,40.38,40.38
2357 華碩,2021,15477,9490,5987,61.32,38.68,38.68
2359 所羅門,2021,298,,,,,0
2360 致茂,2021,1859,1433,426,77.08,22.92,22.92
2362 藍天,2021,1983,1161,822,58.55,41.45,41.45
2363 矽統,2021,188,,,,,0
2364 倫飛,2021,178,,,,,0
2365 昆盈,2021,119,50,69,42.02,57.98,42.02
2367 燿華,2021,4955,2648,2307,53.44,46.56,46.56
2368 金像電,2021,7367,4424,2943,60.05,39.95,39.95
2369 菱生,2021,2477,1070,1407,43.2,56.8,43.2
2371 大同,2021,2585,1916,669,74.12,25.88,25.88
2374 佳能,2021,528,329,199,62.31,37.69,37.69
2376 技嘉,2021,7026,3948,3078,56.19,43.81,43.81
2377 微星,2021,2932,1757,1175,59.92,40.08,40.08
2379 瑞昱,2021,4645,3724,921,80.17,19.83,19.83
2380 虹光,2021,394,,,,,0
2382 廣達,2021,84693,56436,28257,66.64,33.36,33.36
2383 台光電,2021,1035,856,179,82.71,17.29,17.29
2385 群光,2021,16899,7390,9509,43.73,56.27,43.73
2387 精元,2021,20086,11421,8665,56.86,43.14,43.14
2388 威盛,2021,383,248,135,64.75,35.25,35.25
2392 正崴,2021,28294,16300,11994,57.61,42.39,42.39
2393 億光,2021,4998,2690,2308,53.82,46.18,46.18
2395 研華,2021,3186,1834,1352,57.56,42.44,42.44
2397 友通,2021,604,280,324,46.36,53.64,46.36
2401 凌陽,2021,345,234,111,67.83,32.17,32.17
2402 毅嘉,2021,2966,1631,1335,54.99,45.01,45.01
2404 漢唐,2021,850,665,185,78.24,21.76,21.76
2406 國碩,2021,146,105,41,71.92,28.08,28.08
2408 南亞科,2021,3554,2572,982,72.37,27.63,27.63
2409 友達,2021,39480,26523,12957,67.18,32.82,32.82
2412 中華電,2021,20247,14293,5954,70.59,29.41,29.41
2413 環科,2021,728,368,360,50.55,49.45,49.45
2417 圓剛,2021,225,147,78,65.33,34.67,34.67
2419 仲琦,2021,1144,692,452,60.49,39.51,39.51
2420 新巨,2021,1020,508,512,49.8,50.2,49.8
2421 建準,2021,7221,3468,3753,48.03,51.97,48.03
2423 固緯,2021,387,251,136,64.86,35.14,35.14
2428 興勤,2021,,,,50,50,50
2436 偉詮電,2021,,,,60,40,40
2439 美律,2021,6980,3052,3928,43.72,56.28,43.72
2441 超豐,2021,4286,2410,1876,56.23,43.77,43.77
2442 新美齊,2021,59,40,19,67.8,32.2,32.2
2449 京元電子,2021,9472,5668,3804,59.84,40.16,40.16
2450 神腦,2021,2190,954,1236,43.56,56.44,43.56
2451 創見,2021,1246,663,583,53.21,46.79,46.79
2453 凌群,2021,,,,69,31,31
2454 聯發科,2021,18031,14424,3607,80,20,20
2455 全新,2021,267,153,114,57.3,42.7,42.7
2457 飛宏,2021,5931,3470,2461,58.51,41.49,41.49
2458 義隆,2021,1180,708,472,60,40,40
2462 良得電,2021,47,25,22,53.19,46.81,46.81
2464 盟立,2021,1156,860,296,74.39,25.61,25.61
2467 志聖,2021,378,292,86,77.25,22.75,22.75
2474 可成,2021,4397,2905,1492,66.07,33.93,33.93
2480 敦陽科,2021,667,468,199,70.16,29.84,29.84
2481 強茂,2021,1293,486,807,38,62,38
2483 百容,2021,649,264,385,40.68,59.32,40.68
2484 希華,2021,746,237,509,31.77,68.23,31.77
2486 一詮,2021,846,515,331,60.87,39.13,39.13
2488 漢平,2021,1066,380,686,35.65,64.35,35.65
2489 瑞軒,2021,4415,2834,1581,64.19,35.81,35.81
2491 吉祥全,2021,,,,74,26,26
2492 華新科,2021,8060,4364,3696,54.14,45.86,45.86
2498 宏達電,2021,2178,1290,888,59.23,40.77,40.77
2501 國建,2021,1130,440,690,38.94,61.06,38.94
2504 國產,2021,615,496,119,80.65,19.35,19.35
2505 國揚,2021,62,28,34,45.16,54.84,45.16
2506 太設,2021,,,,56,44,44
2509 全坤建,2021,52,,,,,0
2511 太子,2021,259,145,114,55.98,44.02,44.02
2514 龍邦,2021,26,12,14,46.15,53.85,46.15
2515 中工,2021,854,562,292,65.81,34.19,34.19
2520 冠德,2021,90,53,37,58.89,41.11,41.11
2528 皇普,2021,58,35,23,60.34,39.66,39.66
2530 華建,2021,36,17,19,47.22,52.78,47.22
2534 宏盛,2021,84,47,37,55.95,44.05,44.05
2535 達欣工,2021,576,470,106,81.6,18.4,18.4
2536 宏普,2021,29,16,13,55.17,44.83,44.83
2538 基泰,2021,42,,,,,0
2539 櫻花建,2021,64,47,17,73.44,26.56,26.56
2542 興富發,2021,292,123,169,42.12,57.88,42.12
2545 皇翔,2021,57,25,32,43.86,56.14,43.86
2546 根基,2021,524,373,151,71.18,28.82,28.82
2547 日勝生,2021,230,124,106,53.91,46.09,46.09
2601 益航,2021,1385,600,785,43.32,56.68,43.32
2603 長榮,2021,2237,1591,646,71.12,28.88,28.88
2605 新興,2021,259,244,15,94.21,5.79,5.79
2606 裕民,2021,963,913,50,94.81,5.19,5.19
2607 榮運,2021,1033,910,123,88.09,11.91,11.91
2608 嘉里大榮,2021,4409,3919,490,88.89,11.11,11.11
2609 陽明,2021,2141,,,,,0
2610 華航,2021,12405,6331,6074,51.04,48.96,48.96
2614 東森,2021,1362,552,810,40.53,59.47,40.53
2615 萬海,2021,4599,3025,1574,65.78,34.22,34.22
2617 台航,2021,,,,80,20,20
2618 長榮航,2021,10336,3886,6450,37.6,62.4,37.6
2630 亞航,2021,1112,959,153,86.24,13.76,13.76
2633 台灣高鐵,2021,4668,3074,1594,65.85,34.15,34.15
2634 漢翔,2021,6772,5333,1439,78.75,21.25,21.25
2636 台驊控股,2021,1833,685,1148,37.37,62.63,37.37
2637 慧洋-KY,2021,163,59,104,36.2,63.8,36.2
2642 宅配通,2021,2180,1663,517,76.28,23.72,23.72
2645 長榮航太,2021,2982,,,,,0
2704 國賓,2021,817,432,385,52.88,47.12,47.12
2705 六福,2021,,,,47,53,47
2707 晶華,2021,1066,497,569,46.62,53.38,46.62
2712 遠雄來,2021,313,152,161,48.56,51.44,48.56
2722 夏都,2021,437,184,253,42,58,42
2723 美食-KY,2021,1480,705,775,47.64,52.36,47.64
2727 王品,2021,8843,4330,4513,48.97,51.03,48.97
2739 寒舍,2021,1500,747,753,49.8,50.2,49.8
2748 雲品,2021,841,412,429,48.99,51.01,48.99
2753 八方雲集,2021,1333,719,614,53.94,46.06,46.06
2801 彰銀,2021,6610,2345,4265,35.48,64.52,35.48
2809 京城銀,2021,1040,427,613,41.06,58.94,41.06
2812 台中銀,2021,2778,1216,1562,43.77,56.23,43.77
2816 旺旺保,2021,1116,512,604,45.88,54.12,45.88
2820 華票,2021,154,103,51,66.88,33.12,33.12
2832 台產,2021,918,404,514,44.01,55.99,44.01
2834 臺企銀,2021,5352,2434,2918,45.48,54.52,45.48
2836 高雄銀,2021,1090,538,552,49.36,50.64,49.36
2838 聯邦銀,2021,4272,1637,2635,38.32,61.68,38.32
2845 遠東銀,2021,2603,1045,1558,40.15,59.85,40.15
2849 安泰銀,2021,1468,582,886,39.65,60.35,39.65
2850 新產,2021,1684,960,724,57.01,42.99,42.99
2851 中再保,2021,148,62,86,41.89,58.11,41.89
2852 第一保,2021,864,458,406,53,47,47
2855 統一證,2021,1428,528,900,36.97,63.03,36.97
2867 三商壽,2021,12258,4647,7611,37.91,62.09,37.91
2880 華南金,2021,10379,4033,6346,38.86,61.14,38.86
2881 富邦金,2021,35743,13618,22125,38.1,61.9,38.1
2882 國泰金,2021,46919,14437,32482,30.77,69.23,30.77
2883 凱基金,2021,24468,9192,15276,37.57,62.43,37.57
2884 玉山金,2021,9262,4152,5110,44.83,55.17,44.83
2885 元大金,2021,14405,5882,8523,40.83,59.17,40.83
2886 兆豐金,2021,9244,5438,3806,58.83,41.17,41.17
2887 台新金,2021,9956,4016,5940,40.34,59.66,40.34
2888 新光金,2021,20315,5715,14600,28.13,71.87,28.13
2889 國票金,2021,1484,631,853,42.52,57.48,42.52
2890 永豐金,2021,9115,3470,5645,38.07,61.93,38.07
2891 中信金,2021,16508,6505,10003,39.41,60.59,39.41
2892 第一金,2021,9969,3953,6016,39.65,60.35,39.65
2897 王道銀行,2021,963,481,482,49.95,50.05,49.95
2903 遠百,2021,3990,1733,2257,43.43,56.57,43.43
2905 三商,2021,9304,3773,5531,40.55,59.45,40.55
2906 高林,2021,292,68,224,23.29,76.71,23.29
2908 特力,2021,4431,1897,2534,42.81,57.19,42.81
2910 統領,2021,78,27,51,45,55,45
2912 統一超,2021,8348,3662,4686,43.87,56.13,43.87
2913 農林,2021,331,188,143,56.8,43.2,43.2
2915 潤泰全,2021,283,56,227,19.79,80.21,19.79
2923 鼎固-KY,2021,301,154,147,51.16,48.84,48.84
2945 三商家購,2021,3656,1466,2190,40.1,59.9,40.1
3003 健和興,2021,723,420,303,58.09,41.91,41.91
3004 豐達科,2021,599,463,136,77.3,22.7,22.7
3005 神基,2021,9461,5771,3690,61,39,39
3006 晶豪科,2021,498,350,148,70.28,29.72,29.72
3008 大立光,2021,7131,3779,3352,52.99,47.01,47.01
3010 華立,2021,418,235,183,56.22,43.78,43.78
3011 今皓,2021,688,,,,,0
3013 晟銘電,2021,5008,3130,1878,62.5,37.5,37.5
3014 聯陽,2021,419,339,80,80.91,19.09,19.09
3015 全漢,2021,6166,2198,3968,35.65,64.35,35.65
3017 奇鋐,2021,10585,5878,4707,55.53,44.47,44.47
3019 亞光,2021,972,482,490,49.59,50.41,49.59
3023 信邦,2021,4253,1718,2535,40.4,59.6,40.4
3024 憶聲,2021,67,40,27,59.7,40.3,40.3
3026 禾伸堂,2021,1049,460,589,43.85,56.15,43.85
3027 盛達,2021,157,75,82,47.77,52.23,47.77
3028 增你強,2021,,,,57.8,42.2,42.2
3030 德律,2021,582,497,85,85.4,14.6,14.6
3032 偉訓,2021,2638,,,,,0
3033 威健,2021,490,280,210,57.14,42.86,42.86
3034 聯詠,2021,2603,2195,408,84.33,15.67,15.67
3035 智原,2021,600,422,178,70.33,29.67,29.67
3036 文曄,2021,2564,1521,1043,59.32,40.68,40.68
3037 欣興,2021,28297,17197,11100,60.77,39.23,39.23
3038 全台,2021,1027,384,643,37.39,62.61,37.39
3042 晶技,2021,1153,461,692,39.98,60.02,39.98
3044 健鼎,2021,23525,15012,8513,63.81,36.19,36.19
3045 台灣大,2021,5830,2990,2840,51.29,48.71,48.71
3048 益登,2021,408,238,170,58.33,41.67,41.67
3049 精金,2021,300,176,124,58.67,41.33,41.33
3050 鈺德,2021,203,112,91,55.17,44.83,44.83
3052 夆典,2021,106,54,52,50.94,49.06,49.06
3054 立萬利,2021,,,,48,52,48
3056 富華新,2021,,,,58.88,41.12,41.12
3062 建漢,2021,944,520,424,55.08,44.92,44.92
3094 聯傑,2021,74,52,22,70.27,29.73,29.73
3130 一零四,2021,817,329,488,40.27,59.73,40.27
3138 耀登,2021,125,71,54,56.8,43.2,43.2
3149 正達,2021,352,,,,,0
3167 大量,2021,253,175,78,69.17,30.83,30.83
3189 景碩,2021,5575,3391,2184,60.83,39.17,39.17
3209 全科,2021,222,,,,,0
3231 緯創,2021,62831,42867,19964,68.23,31.77,31.77
3296 勝德,2021,129,,,,,0
3311 閎暉,2021,1517,677,840,44.62,55.38,44.62
3356 奇偶,2021,,,,69,31,31
3376 新日興,2021,2347,1173,1174,49.98,50.02,49.98
3380 明泰,2021,3040,,,,,0
3406 玉晶光,2021,,,,61.49,38.51,38.51
3413 京鼎,2021,2310,1845,465,79.87,20.13,20.13
3416 融程電,2021,384,213,171,55.47,44.53,44.53
3437 榮創,2021,882,284,598,33.4,66.6,33.4
3443 創意,2021,797,582,215,73.02,26.98,26.98
3447 展達,2021,907,354,553,39.03,60.97,39.03
3454 晶睿,2021,982,498,484,50.71,49.29,49.29
3481 群創,2021,52571,31260,21311,59.46,40.54,40.54
3504 揚明光,2021,2237,,,,,0
3515 華擎,2021,315,196,119,62.22,37.78,37.78
3532 台勝科,2021,1413,1340,73,94.83,5.17,5.17
3533 嘉澤,2021,8452,4863,3589,57.54,42.46,42.46
3545 敦泰,2021,898,737,161,86.91,18.99,18.99
3550 聯穎,2021,85,47,38,54.9,45.1,45.1
3557 嘉威,2021,1035,550,485,53.14,46.86,46.86
3576 聯合再生,2021,1749,931,818,53.23,46.77,46.77
3592 瑞鼎,2021,,,,79,21,21
3596 智易,2021,5584,2815,2769,50.41,49.59,49.59
3605 宏致,2021,632,345,287,54.59,45.41,45.41
3607 谷崧,2021,,,,87.24,12.76,12.76
3645 達邁,2021,426,365,61,85.68,14.32,14.32
3652 精聯,2021,,,,65,35,35
3653 健策,2021,,,,59.8,40.2,40.2
3665 貿聯-KY,2021,12439,5996,6443,48.2,51.8,48.2
3669 圓展,2021,530,290,240,54.72,45.28,45.28
3673 TPK-KY,2021,,,,61,39,39
3679 新至陞,2021,,,,46,54,46
3694 海華,2021,1600,960,640,60,40,40
3702 大聯大,2021,4816,2597,2219,53.92,46.08,46.08
3703 欣陸,2021,1917,1552,365,81,19,19
3704 合勤控,2021,3562,2045,1517,57.41,42.59,42.59
3705 永信,2021,1329,677,652,50.94,49.06,49.06
3706 神達,2021,7126,,,,,0
3708 上緯投控,2021,220,149,71,67.73,32.27,32.27
3711 日月光投控,2021,95077,50155,44922,52.75,47.25,47.25
3712 永崴投控,2021,2815,1801,1014,63.98,36.02,36.02
3714 富采,2021,5361,2691,2670,50.2,49.8,49.8
3715 定穎投控,2021,4869,2758,2111,56.64,43.36,43.36
4104 佳醫,2021,197,97,100,49.24,50.76,49.24
4106 雃博,2021,650,,,,,0
4119 旭富,2021,206,162,44,78.64,21.36,21.36
4142 國光生,2021,509,308,201,60.51,39.49,39.49
4164 承業醫,2021,212,124,88,58.49,41.51,41.51
4306 炎洲,2021,1255,912,343,72.67,27.33,27.33
4414 如興,2021,25618,,,,,0
4438 廣越,2021,19806,,,,,0
4526 東台,2021,689,603,86,87.52,12.48,12.48
4532 瑞智,2021,316,243,73,76.9,23.1,23.1
4540 全球傳動,2021,1091,859,232,78.74,21.26,21.26
4555 氣立,2021,209,124,85,59.33,40.67,40.67
4566 時碩工業,2021,,,,73.7,26.3,26.3
4572 駐龍,2021,,,,72,28,28
4576 大銀微系統,2021,647,476,171,73.57,26.43,26.43
4583 台灣精銳,2021,653,588,65,90.05,9.95,9.95
4720 德淵,2021,229,160,69,69.87,30.13,30.13
4722 國精化,2021,310,261,49,84.19,15.81,15.81
4739 康普,2021,167,133,34,79.64,20.36,20.36
4746 台耀,2021,,,,72,28,28
4755 三福化,2021,367,294,73,80,20,20
4763 材料-KY,2021,373,244,129,65.42,34.58,34.58
4764 雙鍵,2021,134,85,49,63.43,36.57,36.57
4766 南寶,2021,666,512,154,768.77,23.12,23.12
4770 上品,2021,396,253,143,63.89,36.11,36.11
4904 遠傳,2021,5934,2932,3002,49.41,50.59,49.41
4906 正文,2021,1082,544,538,50.28,49.72,49.72
4915 致伸,2021,10706,5830,4876,54.46,45.54,45.54
4916 事欣科,2021,682,,,,,0
4919 新唐,2021,1467,823,644,56.1,43.9,43.9
4927 泰鼎-KY,2021,8666,3703,4963,42.73,57.27,42.73
4938 和碩,2021,161836,112570,49266,69.56,30.44,30.44
4949 有成精密,2021,261,166,95,63.6,36.4,36.4
4952 凌通,2021,224,161,63,71.88,28.12,28.12
4958 臻鼎-KY,2021,42820,28056,14764,65.52,34.48,34.48
4960 誠美材,2021,1035,647,388,33.53,37.49,37.49
4961 天鈺,2021,560,431,129,76.96,23.04,23.04
4968 立積,2021,298,214,84,71.8,28.2,28.2
4989 榮科,2021,227,205,22,90.31,9.69,9.69
4994 傳奇,2021,536,,,,,0
5203 訊連,2021,,,,67.9,32.1,32.1
5225 東科-KY,2021,,,,58,42,42
5258 虹堡,2021,366,204,162,55.74,44.26,44.26
5269 祥碩,2021,246,196,50,79.67,20.33,20.33
5285 界霖,2021,310,177,133,57.1,42.9,42.9
5288 豐祥-KY,2021,4956,3617,1339,72.98,27.02,27.02
5306 桂盟,2021,254,117,137,46.06,53.94,46.06
5388 中磊,2021,4471,2521,1950,56.36,43.61,43.61
5434 崇越,2021,511,327,184,63.99,36.01,36.01
5469 瀚宇博,2021,681,417,264,61.23,38.77,38.77
5471 松翰,2021,317,232,85,73.19,26.81,26.81
5515 建國,2021,384,267,117,69.53,30.47,30.47
5521 工信,2021,169,123,46,72.78,27.22,27.22
5522 遠雄,2021,153,80,73,52.29,47.71,47.71
5525 順天,2021,50,21,29,42,58,42
5531 鄉林,2021,149,73,76,48.99,51.01,48.99
5533 皇鼎,2021,44,21,23,47.73,52.27,47.73
5538 東明-KY,2021,1146,775,371,67.63,32.37,32.37
5546 永固-KY,2021,341,,,,,0
5608 四維航,2021,723,672,51,92.95,7.05,7.05
5871 中租-KY,2021,7787,4194,3593,53.86,46.14,46.14
5876 上海商銀,2021,2732,1271,1461,46.52,53.48,46.52
5880 合庫金,2021,9526,3884,5642,40.77,59.23,40.77
5907 大洋-KY,2021,,,,43,57,43
6005 群益證,2021,2069,769,1300,37.17,62.83,37.17
6024 群益期,2021,292,159,133,54.45,45.55,45.55
6112 邁達特,2021,569,300,269,52.72,47.28,47.28
6116 彩晶,2021,3475,2026,1449,58,42,42
6117 迎廣,2021,682,395,287,57.92,42.08,42.08
6120 達運,2021,7556,5063,2493,67,33,33
6128 上福,2021,456,109,347,23.9,76.1,23.9
6136 富爾特,2021,,,,45.95,54.05,45.95
6142 友勁,2021,703,304,399,43.24,56.76,43.24
6152 百一,2021,,,,70,30,30
6153 嘉聯益,2021,2349,1038,1311,44.19,55.81,44.19
6166 凌華,2021,1063,620,443,58.33,41.67,41.67
6176 瑞儀,2021,16484,10969,5515,66.5,33.5,33.5
6177 達麗,2021,226,148,78,65.49,34.51,34.51
6183 關貿,2021,676,391,285,57.84,42.16,42.16
6184 大豐電,2021,82,30,52,36.59,63.41,36.59
6189 豐藝,2021,374,177,197,47.33,52.67,47.33
6191 精成科,2021,8185,5012,3173,61.23,38.77,38.77
6196 帆宣,2021,737,536,201,72.7,27.3,27.3
6202 盛群,2021,443,344,99,77.65,22.35,22.35
6205 詮欣,2021,,,,43,57,43
6206 飛捷,2021,408,215,193,52.7,47.3,47.3
6213 聯茂,2021,3340,2233,1107,66.86,33.14,33.14
6214 精誠,2021,3746,2256,1490,60.22,39.78,39.78
6215 和椿,2021,205,,,,,0
6235 華孚,2021,,,,69,31,31
6239 力成,2021,13416,7126,6290,53.12,46.88,46.88
6257 矽格,2021,2429,1227,1202,50.51,49.49,49.49
6269 台郡,2021,2671,1377,1294,51.55,48.45,48.45
6271 同欣電,2021,2688,1047,1641,38.95,61.05,38.95
6277 宏正,2021,699,381,318,54.51,45.49,45.49
6278 台表科,2021,11086,,,,,0
6282 康舒,2021,7938,4514,3424,56.87,43.13,43.13
6285 啟碁,2021,10736,6219,4517,57.93,42.07,42.07
6288 聯嘉,2021,1000,437,563,43.7,56.3,43.7
6409 旭隼,2021,3048,1966,1082,64.5,35.5,35.5
6412 群電,2021,8886,4454,4432,50.12,49.88,49.88
6414 樺漢,2021,175,107,68,61.14,38.86,38.86
6416 瑞祺電通,2021,250,132,118,52.8,47.2,47.2
6426 統新,2021,210,,,,,0
6442 光聖,2021,423,190,233,45,55,45
6443 元晶,2021,1366,850,516,62.23,37.77,37.77
6446 藥華藥,2021,233,110,123,47.21,52.79,47.21
6456 GIS-KY,2021,15561,9748,5813,62.64,37.36,37.36
6464 台數科,2021,755,445,310,58.94,41.06,41.06
6472 保瑞,2021,786,413,373,52.54,47.46,47.46
6477 安集,2021,246,151,95,69.91,38.62,38.62
6491 晶碩,2021,1815,770,1045,42.42,57.58,42.42
6505 台塑化,2021,5274,4798,476,90.97,9.03,9.03
6515 穎崴,2021,634,366,268,57.73,42.27,42.27
6525 捷敏-KY,2021,,,,54,46,46
6531 愛普*,2021,129,71,58,55.04,44.96,44.96
6533 晶心科,2021,231,188,43,81.39,18.61,18.61
6541 泰福-KY,2021,172,84,88,48.84,51.16,48.84
6550 北極星藥業-KY,2021,112,56,56,50,50,50
6573 虹揚-KY,2021,78,23,55,29.49,70.51,29.49
6579 研揚,2021,499,292,207,58.52,41.48,41.48
6581 鋼聯,2021,97,84,13,86.6,13.4,13.4
6582 申豐,2021,214,178,36,83.18,16.82,16.82
6591 動力-KY,2021,,,,37.28,62.72,37.28
6592 和潤企業,2021,943,369,574,39.13,60.87,39.13
6641 基士德-KY,2021,,,,64,36,36
6668 中揚光,2021,880,551,329,62.61,37.39,37.39
6669 緯穎,2021,4725,2913,1812,61.65,38.35,38.35
6670 復盛應用,2021,13590,,,,,0
6674 鋐寶科技,2021,194,134,60,69.07,30.93,30.93
6689 伊雲谷,2021,348,189,159,54.31,45.69,45.69
6691 洋基工程,2021,397,279,118,70.28,29.72,29.72
6695 芯鼎,2021,,,,82,18,18
6706 惠特,2021,,,,56.02,43.98,43.98
6715 嘉基,2021,997,459,538,46.04,53.96,46.04
6743 安普新,2021,,,,65,35,35
6754 匯僑設計,2021,,,,51,49,49
6756 威鋒電子,2021,191,,,,,0
6757 台灣虎航,2021,646,289,357,44.74,55.26,44.74
6768 志強-KY,2021,6495,1928,4567,29.68,70.32,29.68
6770 力積電,2021,7481,4558,2923,60.93,39.07,39.07
6789 采鈺,2021,1380,766,614,55.51,44.49,44.49
6790 永豐實,2021,1415,974,441,68.83,31.17,31.17
6805 富世達,2021,784,451,333,57.53,42.47,42.47
6806 森崴能源,2021,80,45,35,56.25,43.75,43.75
6830 汎銓,2021,337,191,146,56.68,43.32,43.32
6873 泓德能源,2021,146,85,61,58.22,41.78,41.78
